ANO;MÊS;ID;ÍNDICE;VAR MÊS;VAR 2018.12
2007;1;2007.1;2626,56;0,44;1,94193546
2007;2;2007.2;2638,12;0,44;1,93342608
2007;3;2007.3;2647,88;0,37;1,92629953
2007;4;2007.4;2654,50;0,25;1,92149557
2007;5;2007.5;2661,93;0,28;1,91613228
2007;6;2007.6;2669,38;0,28;1,91078453
2007;7;2007.7;2675,79;0,24;1,90620714
2007;8;2007.8;2688,37;0,47;1,89728720
2007;9;2007.9;2693,21;0,18;1,89387757
2007;10;2007.10;2701,29;0,30;1,88821267
2007;11;2007.11;2711,55;0,38;1,88106802
2007;12;2007.12;2731,62;0,74;1,86724727
2008;1;2008.1;2746,37;0,54;1,85721880
2008;2;2008.2;2759,83;0,49;1,84816094
2008;3;2008.3;2773,08;0,48;1,83933028
2008;4;2008.4;2788,33;0,55;1,82927057
2008;5;2008.5;2810,36;0,79;1,81493118
2008;6;2008.6;2831,16;0,74;1,80159723
2008;7;2008.7;2846,16;0,53;1,79210234
2008;8;2008.8;2854,13;0,28;1,78709799
2008;9;2008.9;2861,55;0,26;1,78246405
2008;10;2008.10;2874,43;0,45;1,77447703
2008;11;2008.11;2884,78;0,36;1,76811057
2008;12;2008.12;2892,86;0,28;1,76317209
2009;1;2009.1;2906,74;0,48;1,75475275
2009;2;2009.2;2922,73;0,55;1,74515265
2009;3;2009.3;2928,57;0,20;1,74167256
2009;4;2009.4;2942,63;0,48;1,73335078
2009;5;2009.5;2956,46;0,47;1,72524235
2009;6;2009.6;2967,10;0,36;1,71905564
2009;7;2009.7;2974,22;0,24;1,71494039
2009;8;2009.8;2978,68;0,15;1,71237259
2009;9;2009.9;2985,83;0,24;1,70827207
2009;10;2009.10;2994,19;0,28;1,70350245
2009;11;2009.11;3006,47;0,41;1,69654445
2009;12;2009.12;3017,59;0,37;1,69029258
2010;1;2010.1;3040,22;0,75;1,67771082
2010;2;2010.2;3063,93;0,78;1,66472798
2010;3;2010.3;3079,86;0,52;1,65611749
2010;4;2010.4;3097,42;0,57;1,64672857
2010;5;2010.5;3110,74;0,43;1,63967738
2010;6;2010.6;3110,74;0,00;1,63967738
2010;7;2010.7;3111,05;0,01;1,63951399
2010;8;2010.8;3112,29;0,04;1,63886077
2010;9;2010.9;3126,29;0,45;1,63152171
2010;10;2010.10;3149,74;0,75;1,61937493
2010;11;2010.11;3175,88;0,83;1,60604620
2010;12;2010.12;3195,89;0,63;1,59599048
2011;1;2011.1;3222,42;0,83;1,58285078
2011;2;2011.2;3248,20;0,80;1,57028816
2011;3;2011.3;3273,86;0,79;1,55798049
2011;4;2011.4;3299,07;0,77;1,54607511
2011;5;2011.5;3314,58;0,47;1,53884052
2011;6;2011.6;3319,55;0,15;1,53653658
2011;7;2011.7;3324,86;0,16;1,53408264
2011;8;2011.8;3337,16;0,37;1,52842836
2011;9;2011.9;3354,85;0,53;1,52036902
2011;10;2011.10;3369,28;0,43;1,51385756
2011;11;2011.11;3386,80;0,52;1,50602634
2011;12;2011.12;3403,73;0,50;1,49853543
2012;1;2012.1;3422,79;0,56;1,49019075
2012;2;2012.2;3438,19;0,45;1,48351604
2012;3;2012.3;3445,41;0,21;1,48040727
2012;4;2012.4;3467,46;0,64;1,47099318
2012;5;2012.5;3479,94;0,36;1,46571780
2012;6;2012.6;3482,72;0,08;1,46454782
2012;7;2012.7;3497,70;0,43;1,45827544
2012;8;2012.8;3512,04;0,41;1,45232116
2012;9;2012.9;3532,06;0,57;1,44408929
2012;10;2012.10;3552,90;0,59;1,43561879
2012;11;2012.11;3574,22;0,60;1,42705541
2012;12;2012.12;3602,46;0,79;1,41586860
2013;1;2013.1;3633,44;0,86;1,40379640
2013;2;2013.2;3655,24;0,60;1,39542410
2013;3;2013.3;3672,42;0,47;1,38889615
2013;4;2013.4;3692,62;0,55;1,38129837
2013;5;2013.5;3706,28;0,37;1,37620741
2013;6;2013.6;3715,92;0,26;1,37263719
2013;7;2013.7;3717,03;0,03;1,37222729
2013;8;2013.8;3725,95;0,24;1,36894215
2013;9;2013.9;3738,99;0,35;1,36416786
2013;10;2013.10;3760,30;0,57;1,35643699
2013;11;2013.11;3780,61;0,54;1,34915000
2013;12;2013.12;3815,39;0,92;1,33685154
2014;1;2014.1;3836,37;0,55;1,32954069
2014;2;2014.2;3862,84;0,69;1,32043005
2014;3;2014.3;3898,38;0,92;1,30839220
2014;4;2014.4;3924,50;0,67;1,29968404
2014;5;2014.5;3942,55;0,46;1,29373375
2014;6;2014.6;3958,32;0,40;1,28857950
2014;7;2014.7;3958,72;0,01;1,28844930
2014;8;2014.8;3968,62;0,25;1,28523517
2014;9;2014.9;3991,24;0,57;1,27795121
2014;10;2014.10;4008,00;0,42;1,27260729
2014;11;2014.11;4028,44;0,51;1,26615017
2014;12;2014.12;4059,86;0,78;1,25635120
2015;1;2015.1;4110,20;1,24;1,24096394
2015;2;2015.2;4160,34;1,22;1,22600797
2015;3;2015.3;4215,26;1,32;1,21003449
2015;4;2015.4;4245,19;0,71;1,20150335
2015;5;2015.5;4276,60;0,74;1,19267876
2015;6;2015.6;4310,39;0,79;1,18332912
2015;7;2015.7;4337,11;0,62;1,17603888
2015;8;2015.8;4346,65;0,22;1,17345772
2015;9;2015.9;4370,12;0,54;1,16715559
2015;10;2015.10;4405,95;0,82;1,15766407
2015;11;2015.11;4450,45;1,01;1,14608860
2015;12;2015.12;4493,17;0,96;1,13519186
2016;1;2016.1;4550,23;1,27;1,12095652
2016;2;2016.2;4591,18;0,90;1,11095840
2016;3;2016.3;4610,92;0,43;1,10620223
2016;4;2016.4;4639,05;0,61;1,09949451
2016;5;2016.5;4675,23;0,78;1,09098590
2016;6;2016.6;4691,59;0,35;1,08718153
2016;7;2016.7;4715,99;0,52;1,08155658
2016;8;2016.8;4736,74;0,44;1,07681866
2016;9;2016.9;4740,53;0,08;1,07595775
2016;10;2016.10;4752,86;0,26;1,07316647
2016;11;2016.11;4761,42;0,18;1,07123715
2016;12;2016.12;4775,70;0,30;1,06803401
2017;1;2017.1;4793,85;0,38;1,06399032
2017;2;2017.2;4809,67;0,33;1,06049064
2017;3;2017.3;4821,69;0,25;1,05784694
2017;4;2017.4;4828,44;0,14;1,05636810
2017;5;2017.5;4843,41;0,31;1,05310308
2017;6;2017.6;4832,27;-0,23;1,05553084
2017;7;2017.7;4843,87;0,24;1,05300307
2017;8;2017.8;4853,07;0,19;1,05100689
2017;9;2017.9;4860,83;0,16;1,04932902
2017;10;2017.10;4881,25;0,42;1,04493931
2017;11;2017.11;4894,92;0,28;1,04202112
2017;12;2017.12;4916,46;0,44;1,03745581
2018;1;2018.1;4930,72;0,29;1,03445541
2018;2;2018.2;4946,50;0,32;1,03115536
2018;3;2018.3;4950,95;0,09;1,03022854
2018;4;2018.4;4961,84;0,22;1,02796745
2018;5;2018.5;4981,69;0,40;1,02387142
2018;6;2018.6;5044,46;1,26;1,01113102
2018;7;2018.7;5061,11;0,33;1,00780461
2018;8;2018.8;5056,56;-0,09;1,00871146
2018;9;2018.9;5080,83;0,48;1,00389306
2018;10;2018.10;5103,69;0,45;0,99939652
2018;11;2018.11;5092,97;-0,21;1,00150011
2018;12;2018.12;5100,61;0,15;1,00000000
